Hsinchu,Humidity,Temperature
110年 1月,74,59.54
110年 2月,76,64.22
110年 3月,84,66.56
110年 4月,76,71.78
110年 5月,78,81.5
110年 6月,77,83.66
110年 7月,75,85.64
110年 8月,79,83.48
110年 9月,73,84.74
110年 10月,71,78.8
110年 11月,76,69.98
110年 12月,75,64.22
109年 1月,78,62.06
109年 2月,74,63.68
109年 3月,79,68
109年 4月,74,68.9
109年 5月,78,79.88
109年 6月,70,85.46
109年 7月,65,87.44
109年 8月,72,85.28
109年 9月,73,81.5
109年 10月,71,76.82
109年 11月,73,73.94
109年 12月,82,64.4
108年 1月,76,63.86
108年 2月,80,64.4
108年 3月,78,66.74
108年 4月,77,74.48
108年 5月,77,76.46
108年 6月,74,82.94
108年 7月,68,86.36
108年 8月,74,85.1
108年 9月,71,80.96
108年 10月,71,77.36
108年 11月,70,71.24
108年 12月,75,64.94
