,Humidity,Temperature
110年 1月,71,60.8
110年 2月,70,66.2
110年 3月,73,70.7
110年 4月,70,75.02
110年 5月,70,83.84
110年 6月,81,82.04
110年 7月,77,84.2
110年 8月,81,82.04
110年 9月,74,84.2
110年 10月,71,80.06
110年 11月,72,72.32
110年 12月,71,65.84
109年 1月,76,64.4
109年 2月,72,66.2
109年 3月,70,72.14
109年 4月,70,71.96
109年 5月,75,81.5
109年 6月,70,84.38
109年 7月,74,85.28
109年 8月,75,83.3
109年 9月,71,82.58
109年 10月,69,78.98
109年 11月,72,75.02
109年 12月,77,67.1
108年 1月,75,66.74
108年 2月,75,68.9
108年 3月,79,69.98
108年 4月,79,76.46
108年 5月,82,77.72
108年 6月,79,82.76
108年 7月,79,84.92
108年 8月,86,83.12
108年 9月,78,81.86
108年 10月,71,78.98
108年 11月,69,73.4
108年 12月,75,66.74
