,Humidity,Temperature
110年 1月,75,60.8
110年 2月,74,66.38
110年 3月,83,68.54
110年 4月,77,72.32
110年 5月,74,82.76
110年 6月,74,84.74
110年 7月,72,86.54
110年 8月,79,84.02
110年 9月,72,85.1
110年 10月,76,78.26
110年 11月,78,70.16
110年 12月,77,64.94
109年 1月,75,64.22
109年 2月,72,65.66
109年 3月,75,69.44
109年 4月,73,69.62
109年 5月,77,80.42
109年 6月,68,86.9
109年 7月,67,87.62
109年 8月,70,86.36
109年 9月,73,82.04
109年 10月,77,76.1
109年 11月,76,73.94
109年 12月,88,64.58
108年 1月,74,65.3
108年 2月,79,65.84
108年 3月,75,67.64
108年 4月,76,75.56
108年 5月,77,77
108年 6月,77,83.3
108年 7月,73,86.54
108年 8月,72,86.9
108年 9月,79,81.14
108年 10月,74,77.54
108年 11月,75,71.6
108年 12月,77,66.38
