Tamsui,Humidity,Temperature
110年 1月,79,59
110年 2月,80,64.04
110年 3月,88,65.3
110年 4月,78,70.7
110年 5月,82,80.6
110年 6月,82,83.12
110年 7月,79,85.1
110年 8月,84,83.12
110年 9月,77,83.84
110年 10月,77,77.36
110年 11月,80,68.9
110年 12月,82,63.14
109年 1月,82,62.24
109年 2月,85,63.14
109年 3月,86,67.28
109年 4月,79,68.18
109年 5月,84,78.62
109年 6月,73,84.38
109年 7月,62,85.82
109年 8月,72,84.56
109年 9月,78,79.88
109年 10月,76,75.2
109年 11月,76,72.68
109年 12月,88,63.32
108年 1月,83,63.68
108年 2月,87,63.86
108年 3月,81,66.38
108年 4月,84,73.58
108年 5月,82,75.56
108年 6月,85,81.32
108年 7月,79,85.28
108年 8月,77,84.92
108年 9月,83,79.34
108年 10月,84,75.74
108年 11月,80,70.34
108年 12月,82,64.4
