Hualien,Humidity,Temperature
110年 1月,79,61.88
110年 2月,78,67.1
110年 3月,84,70.7
110年 4月,82,72.86
110年 5月,84,80.42
110年 6月,84,82.4
110年 7月,77,84.56
110年 8月,82,82.76
110年 9月,80,82.4
110年 10月,80,77.36
110年 11月,81,70.88
110年 12月,75,67.1
109年 1月,77,67.1
109年 2月,74,67.28
109年 3月,80,70.52
109年 4月,79,70.7
109年 5月,83,78.98
109年 6月,75,84.74
109年 7月,76,85.1
109年 8月,75,84.38
109年 9月,76,81.32
109年 10月,74,77.54
109年 11月,79,74.3
109年 12月,81,68.36
108年 1月,77,68
108年 2月,80,69.8
108年 3月,75,69.62
108年 4月,76,76.1
108年 5月,80,75.92
108年 6月,81,81.86
108年 7月,77,84.74
108年 8月,78,84.02
108年 9月,75,81.32
108年 10月,73,77.54
108年 11月,71,73.22
108年 12月,75,68.36
