"
Kaohsiung",Humidity,Temperature
110年 1月,69,64.94
110年 2月,72,69.44
110年 3月,73,74.48
110年 4月,75,77.72
110年 5月,76,84.38
110年 6月,84,82.76
110年 7月,81,84.38
110年 8月,84,83.12
110年 9月,80,84.38
110年 10月,77,81.68
110年 11月,71,76.28
110年 12月,71,70.16
109年 1月,70,69.62
109年 2月,69,71.24
109年 3月,71,76.46
109年 4月,69,77
109年 5月,79,83.48
109年 6月,75,86.54
109年 7月,76,86.9
109年 8月,82,84.38
109年 9月,75,85.46
109年 10月,74,82.22
109年 11月,74,78.44
109年 12月,71,72.14
108年 1月,71,71.42
108年 2月,71,74.84
108年 3月,73,75.38
108年 4月,74,80.42
108年 5月,79,81.5
108年 6月,79,85.1
108年 7月,81,84.74
108年 8月,84,83.84
108年 9月,76,83.66
108年 10月,72,81.86
108年 11月,70,77.18
108年 12月,71,71.24
